网格修复 门 带格恒 0 + 电功率闭合　W08 片0　等温 1214 A／1150 °C
开跑 2026-09-23 17:51:48　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtC4　写码 2026-09-18，Fable 5.1
门槛（跑前写死）：舌段带格数 = 0；P_gen/P_net ∈ [0.99, 1.01]；体积 ≤ 0.1 %。
R	w	档	细区mm	细区半径	节点	单元	V_ref	V_mesh	ΔV%	环内V_ref	环内V_mesh(份额)	Δ环内%	环内V_mesh(格心)	Δ环内格心%	跨环格体积最大误差%	舌区V_ref	舌区V_mesh	Δ舌区%	带格	舌中格长宽比	最小覆盖率	孔面数	孔面总长	R_mesh µΩ	P_net W	P_gen W	闭合	Jmax	守恒误差	CG轮	收敛	备注	判读
30.50	30.00	导航	2.000	54.20	57×33	1102	15867.88	15868.06	+0.001	1104.82	1104.98	+0.015	1073.42	-2.842	0.335	15501.15	15501.19	+0.000	0	5.5	0.0011	102	162.106	323.4518	476.702	476.728	1.0001	14.02	5.0e-11	115	是		过
30.50	30.00	判决	1.000	54.20	108×63	4034	15867.88	15868.06	+0.001	1104.82	1105.00	+0.017	1101.84	-0.270	0.831	15501.15	15501.19	+0.000	0	5.5	0.0019	206	162.106	323.3644	476.573	476.666	1.0002	14.23	1.6e-8	229	是		过
30.75	30.00	导航	2.000	54.45	57×33	1106	16024.58	16024.78	+0.001	1151.81	1152.00	+0.016	1181.42	+2.571	0.335	15628.33	15628.37	+0.000	0	5.5	0.0013	102	162.106	328.2728	483.807	483.901	1.0002	14.08	6.9e-9	117	是		过
30.75	30.00	判决	1.000	54.45	108×63	4066	16024.58	16024.78	+0.001	1151.81	1152.01	+0.018	1153.00	+0.103	1.200	15628.33	15628.37	+0.000	0	5.5	0.0026	206	162.106	328.1532	483.631	483.675	1.0001	14.23	5.5e-9	234	是		过
31.00	30.00	导航	2.000	54.70	57×33	1124	16160.23	16160.45	+0.001	1200.07	1200.30	+0.018	1203.40	+0.277	0.335	15734.87	15734.91	+0.000	0	5.5	0.0015	100	162.106	332.6445	490.250	490.429	1.0004	14.47	7.3e-9	118	是		过
31.00	30.00	判决	1.000	54.70	108×63	4090	16160.23	16160.45	+0.001	1200.07	1200.30	+0.019	1199.34	-0.061	0.335	15734.87	15734.91	+0.000	0	5.5	0.0029	204	162.106	332.2719	489.701	489.757	1.0001	14.51	3.4e-10	237	是		过
31.01	30.00	导航	2.000	54.71	57×33	1124	16165.37	16165.57	+0.001	1202.03	1202.24	+0.017	1208.51	+0.539	0.335	15738.82	15738.86	+0.000	0	5.5	0.0015	100	162.106	332.7466	490.401	490.533	1.0003	14.52	7.7e-9	118	是		过
31.01	30.00	判决	1.000	54.71	108×63	4094	16165.37	16165.57	+0.001	1202.03	1202.24	+0.018	1192.27	-0.812	0.403	15738.82	15738.86	+0.000	0	5.5	0.0030	204	162.106	332.4733	489.998	490.109	1.0002	14.51	1.7e-10	237	是		过
31.25	30.00	导航	2.000	54.95	58×33	1144	16297.11	16297.32	+0.001	1263.58	1263.79	+0.016	1242.83	-1.643	0.328	15828.09	15828.14	+0.000	0	5.5	0.0016	102	162.106	336.0167	495.220	495.312	1.0002	14.08	8.0e-9	119	是		过
31.25	30.00	判决	1.000	54.95	110×65	4188	16297.11	16297.32	+0.001	1263.58	1263.80	+0.017	1259.07	-0.357	0.328	15828.09	15828.14	+0.000	0	5.5	0.0041	206	162.106	335.8962	495.042	495.087	1.0001	14.23	3.6e-9	238	是		过
30.00	29.50	导航	2.000	53.70	56×33	1086	15764.79	15764.97	+0.001	991.01	991.21	+0.020	1015.36	+2.457	0.337	15437.10	15437.13	+0.000	0	7.3	0.0011	102	162.106	323.4267	476.665	476.607	0.9999	13.81	9.9e-9	113	是		过
30.00	29.50	判决	1.000	53.70	107×63	3980	15764.79	15764.97	+0.001	991.01	991.17	+0.017	988.58	-0.245	1.923	15437.10	15437.13	+0.000	0	11.0	0.0014	206	162.106	323.4435	476.690	476.774	1.0002	14.18	1.0e-9	226	是		过
30.00	29.55	导航	2.000	53.70	56×31	1072	15762.84	15763.03	+0.001	994.01	994.20	+0.019	985.41	-0.865	0.340	15437.05	15437.08	+0.000	0	5.5	0.0180	102	162.106	321.9918	474.550	474.685	1.0003	13.95	7.2e-9	113	是		过
30.00	29.55	判决	1.000	53.70	106×63	3950	15762.84	15763.03	+0.001	994.01	994.19	+0.018	1003.33	+0.938	1.923	15437.05	15437.08	+0.000	0	10.0	0.0014	204	162.106	321.8092	474.281	474.262	1.0000	14.26	1.0e-8	224	是		过
30.00	29.70	导航	2.000	53.70	55×31	1056	15669.37	15669.54	+0.001	1000.87	1001.04	+0.017	994.82	-0.604	0.338	15349.97	15350.00	+0.000	0	5.5	0.0180	100	162.106	318.4401	469.316	469.199	0.9998	14.25	6.4e-10	113	是		过
30.00	29.70	判决	1.000	53.70	105×63	3888	15669.37	15669.54	+0.001	1000.87	1001.06	+0.018	1009.58	+0.870	1.923	15349.97	15350.00	+0.000	0	8.5	0.0014	204	162.106	318.2357	469.015	468.997	1.0000	14.26	2.3e-9	234	是		过
30.00	29.80	导航	2.000	53.70	56×31	1072	15565.86	15566.03	+0.001	1005.72	1005.91	+0.019	1021.65	+1.584	0.336	15251.68	15251.71	+0.000	0	5.5	0.0180	102	162.106	315.8368	465.479	465.426	0.9999	13.84	5.8e-9	113	是		过
30.00	29.80	判决	1.000	53.70	106×61	3894	15565.86	15566.03	+0.001	1005.72	1005.89	+0.017	1006.15	+0.042	1.923	15251.68	15251.71	+0.000	0	5.5	0.0014	206	162.106	315.8522	465.502	465.586	1.0002	14.21	3.0e-9	233	是		过
── 不过 0　2026-09-18，Fable 5.1
