R48 合并树拷入的证据文件清单（2026-09-15 Opus 5）：Core/测试注释与 HANDOVER 引用、合并树原本缺的文件，从所在工作树 deliverable 原样拷入；md5 与源相同。
文件名	来源工作树	md5
R48_G2_升温两节点补铜排通道_B2_2026-09-15.txt	r48_G2	cafac9b1343b7e0006561f86e4ca7038
R48_G2_复审_升温两节点逐项标定_B2_2026-09-15.txt	r48_G2	8c88bb90dde882951d5f811ca0a2ce2c
R48_G2_复审二_升温两节点_现役锚点_2026-09-15.txt	r48_G2	359895ade596305c4e91de4508a713f8
R48_G2_改前基线_2026-09-15.txt	r48_G2	25d012c1e2bf7f8578b7ce44b063408a
R48_G3_C路快门_合并后改前_2026-09-15.txt	r48_G3	9695d5a09192973e9850294ba67f06be
R48_下行窗口_2026-09-13.txt	Pt_Optimize_r47	95fa5457e872c9fd51361909d9648503
R48_中带收敛_管壁08_2026-09-13.txt	Pt_Optimize_r47	fffacc0717459a00f4193db43ed6bed6
R48_保温分界敏感度_2026-09-14.txt	Pt_Optimize_r47	344c3a598579c6212f5ef87bfc452a5b
R48_保温分界混合_门_2026-09-14.txt	Pt_Optimize_r47	3cf88e453c5daaee0470cddae91f94f9
R48_保温分界混合_门七_2026-09-14.txt	Pt_Optimize_r47	3358f0f5b437e6d97c2bf981c49107b1
R48_保温分界混合_门八_2026-09-14.txt	Pt_Optimize_r47	039cb062699302b4c6b13a5b03822588
R48_保温分界混合_门六_2026-09-14.txt	Pt_Optimize_r47	bdc3e5bf5f813308404256cfff637715
R48_保温搜索_小规模_2026-09-15.txt	r48_E	e499700868a8acd2f3c2ef3aba813987
R48_保温搜索_小规模_第二版_2026-09-15.txt	r48_E	050caa0f6bfe60868eac861ba67c3e6e
R48_保温搜索_管7点5_单态可行集_2026-09-15.txt	r48_E	a0732ea6e5daeacbb753118051eb90b8
R48_保温搜索_管7点5_空管沿用生产设定_2026-09-15.txt	r48_E	0cb815f31f6d2e9a21c8e57ce844b5f2
R48_保温搜索_管侧响应_两种解法对拍_2026-09-15.txt	r48_E	f471b8559acae8eddb8cc2fa62d402d1
R48_保温搜索_管侧响应_两种解法对拍_第二版_2026-09-15.txt	r48_E	3bd54853c3f836c4b09b9589b8a61298
R48_保温规则AB_2026-09-14.txt	Pt_Optimize_r47	a316406694de36dd9384819fbebcef7d
R48_判定网格配方影响_2026-09-14.txt	r48_A	ca1c394cdd8f75282f1e7657de985420
R48_压接整面接触AB_2026-09-14.txt	Pt_Optimize_r47	845919893c500fcdd171b2e1046f9f58
R48_压接细带自相似_2026-09-14.txt	Pt_Optimize_r47	f6a05dda9f5843245d248b0ba70c5026
R48_压接面上定温_基线树形心口径记录_2026-09-15.txt	r48_F	85909fb69f20fb9197866bc92f7c136d
R48_压接面上定温_基线树形心口径记录_探针源码_2026-09-15.cs.txt	r48_F	b4722eb9ff1786b9c714ed9d558b7c07
R48_压接面上定温_收敛阶_2026-09-15.txt	r48_F	7d146851437f6b12c8985c3d5f734477
R48_压接面上定温_正偏差定位_2026-09-15.txt	r48_F	8bc32a72f529e9caf960912416068fcf
R48_压接面上定温_细带去留_2026-09-15.txt	r48_F	3b750191dababd899f45b6f4c95f87b7
R48_压接面上定温_锥形舌细带去留_2026-09-15.txt	r48_F	6644d3cc1a90494f633289ca55866c84
R48_只削片2_2026-09-14.txt	Pt_Optimize_r47	4cfce2cb5b8f43b069d230edfa5ad266
R48_圆盘保温杠杆_20.0mm_2026-09-14.txt	Pt_Optimize_r47	7cbd6a5226180dd77e709b3d7ca0ce23
R48_圆盘区判据覆盖_2026-09-13.txt	Pt_Optimize_r47	f53c834fa37f0a7cf4458a7d431da091
R48_均匀网格补0.25_2026-09-14.txt	Pt_Optimize_r47	76c5cad77f0d77e44294cb599b4c49d9
R48_孔位对比x185分解_2026-09-14.txt	r48_A	3551132944ac304b19fecfbea693c58d
R48_孔边定温带_2026-09-13.txt	Pt_Optimize_r47	56769c79f233389f69ba06ab326eca8c
R48_实验a_压接段相位_2026-09-14.txt	Pt_Optimize_r47	0c1f15d8b2034d23c70f8f15aba6acfc
R48_实验b_压接边界落节点_2026-09-14.txt	Pt_Optimize_r47	02a2ac5e6a19b8bf6d4c82f774b6c078
R48_实验c_温度场台阶抖动_2026-09-14.txt	Pt_Optimize_r47	a0d9655de406b8123134545102c3ca24
